pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,Mesh,InverseA,InverseAFill,InverseC,InverseCFill,Calv,ISthick,GIthick,Comments
0,1814,0,14-Feb-2024 17:15:01,0,0,09-Feb-2024 11:09:10,1,14-Feb-2024 17:27:14,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1795,1381,2000,2000,2000,Original 2000
0,1905,0,14-Feb-2024 17:34:41,0,0,14-Feb-2024 17:33:06,1,14-Feb-2024 13:57:46,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1795,1381,2018,2000,2000,Ice front
0,1126,0,14-Feb-2024 17:41:36,0,0,14-Feb-2024 17:40:03,1,14-Feb-2024 13:58:30,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1795,1381,2000,2018,2000,Ice shelf thickness
0,1913,0,14-Feb-2024 17:21:46,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 17:37:05,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1795,1381,2000,2018,2018,Ice thickness
0,1632,0,14-Feb-2024 17:24:27,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 17:39:01,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1795,1381,2018,2018,2018,Ice front and ice thickness
0,1097,0,14-Feb-2024 17:26:57,0,0,09-Feb-2024 11:09:10,1,14-Feb-2024 17:41:40,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1795,1381,2000,2000,2000,AGlen
0,1278,0,14-Feb-2024 17:29:16,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 17:45:00,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1381,1795,2000,2000,2000,C
0,1141,0,14-Feb-2024 18:09:05,0,0,09-Feb-2024 13:38:54,1,15-Feb-2024 10:31:21,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1381,1795,2000,2000,2000,AGlen and C
0,1546,0,14-Feb-2024 17:32:55,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 17:48:22,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1795,1381,2018,2000,2000,AGlen and ice front
0,1957,0,14-Feb-2024 18:02:13,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:15:51,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1795,1381,2000,2018,2018,AGlen and ice thickness
0,1964,0,14-Feb-2024 18:03:30,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:19:02,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1795,1381,2018,2018,2018,AGlen and ice front and ice thickness
0,1157,0,14-Feb-2024 18:04:57,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:20:49,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1381,1795,2018,2000,2000,C and ice front
0,1970,0,14-Feb-2024 18:06:14,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:22:14,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1381,1795,2000,2018,2018,C and ice thickness
0,1485,0,14-Feb-2024 18:07:34,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:22:27,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1795,1381,1381,1795,2018,2018,2018,C and ice front and ice thickness
0,1800,0,14-Feb-2024 18:09:05,0,0,09-Feb-2024 13:38:54,1,14-Feb-2024 18:24:35,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1795,1381,1795,2018,2018,2018,AGlen and C and ice front and ice thickness
0,1421,0,16-Feb-2024 09:36:37,0,0,09-Feb-2024 13:38:54,1,16-Feb-2024 09:50:09,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1317,1317,1317,1317,2009,2009,2009,original 2009
0,1915,0,16-Feb-2024 09:38:08,0,0,09-Feb-2024 13:38:54,1,16-Feb-2024 09:51:24,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1034,1034,1034,1034,2014,2014,2014,original 2014
0,1792,0,16-Feb-2024 09:43:00,0,0,09-Feb-2024 13:38:54,1,16-Feb-2024 09:56:44,0,2000_2009_2014_2018_meshmin3000_meshmax100000,1381,1381,1381,1381,2018,2018,2018,original 2018
